ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
BANF,HBAN,2022-03-31,0.529,-3.598,0.198,1.39,4.87,-0.041,-4.955,-0.078,-6.161,-0.176,-9.386,2017-04-17,banks
BANF,IBOC,2022-03-31,0.824,-3.12,0.493,10.277,4.87,-0.019,-3.658,-0.047,-4.477,-0.11,-6.311,2017-04-17,banks
BANF,NBHC,2022-03-31,0.745,-3.439,0.481,7.581,4.87,-0.038,-4.91,-0.042,-5.05,-0.111,-7.695,2017-04-17,banks
BANF,ONB,2022-03-31,0.902,-5.327,0.154,7.312,4.87,-0.04,-6.919,-0.052,-7.414,-0.123,-10.295,2017-04-17,banks
BANF,PB,2022-03-31,1.0,-3.577,0.6,31.979,4.87,-0.017,-4.18,-0.015,-4.099,-0.076,-6.219,2017-04-17,banks
BANF,TCBK,2022-03-31,0.627,-3.854,0.493,9.872,4.87,-0.018,-4.377,0.021,-3.241,-0.014,-4.253,2017-04-17,banks
BANF,TFC,2022-03-31,0.627,-3.698,0.724,8.156,4.87,-0.064,-5.978,-0.106,-7.457,-0.165,-9.585,2017-04-17,banks
BANF,UCBI,2022-03-31,0.588,-3.503,0.49,-0.023,4.87,-0.056,-5.911,-0.093,-7.508,-0.149,-9.933,2017-04-17,banks
BANR,C,2022-03-31,0.549,-2.874,0.926,14.706,4.87,0.001,-2.865,0.005,-2.769,-0.051,-3.861,2017-04-17,banks
BANR,CVBF,2022-03-31,0.922,2.182,0.167,11.08,4.87,-0.03,3.269,-0.053,4.082,-0.073,4.791,2017-04-17,banks
BANR,HOPE,2022-03-31,0.647,2.074,0.288,-2.097,4.87,0.005,1.789,0.036,-0.018,0.05,-0.807,2017-04-17,banks
BANR,ING,2022-03-31,0.608,-2.467,0.254,-2.756,4.87,0.029,-1.734,0.07,-0.733,0.016,-2.081,2017-04-17,banks
