ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
AAPL,NTCT,2022-06-03,0.51,2.691,0.063,19.901,4.485,3.913,0.004,0.417,-0.064,0.029,0.041,0.055,0.016,-0.003,-0.023,-0.015,-0.032,0.0,0.062,1.53,0.052,1.706,0.121,0.422,2017-06-19,technology_hardware_and_equipment
AAPL,SMCI,2022-06-03,0.98,4.63,0.194,9.215,4.485,3.913,0.737,1.322,0.014,-0.006,-0.005,-0.006,0.018,0.003,0.013,-0.005,-0.011,0.003,0.184,0.575,-0.004,4.725,-0.093,6.681,2017-06-19,technology_hardware_and_equipment
AEIS,CGNX,2022-06-03,0.725,-2.696,0.714,9.034,4.485,3.913,0.633,-0.588,0.012,0.01,-0.045,-0.026,-0.001,0.009,0.023,-0.01,-0.029,-0.009,0.012,-2.52,-0.091,-4.091,-0.098,-4.193,2017-06-19,technology_hardware_and_equipment
AEIS,NTCT,2022-06-03,0.706,2.938,0.104,18.789,4.485,3.913,0.314,1.172,-0.007,0.072,0.065,0.026,0.001,0.005,-0.012,-0.008,-0.03,-0.033,0.049,2.167,0.056,2.072,0.122,1.043,2017-06-19,technology_hardware_and_equipment
AEIS,SMCI,2022-06-03,0.647,3.753,0.309,6.646,4.485,3.913,0.882,3.219,-0.034,0.038,0.04,0.021,0.001,-0.008,-0.017,0.063,-0.001,-0.02,0.169,1.568,-0.002,3.785,-0.099,5.037,2017-06-19,technology_hardware_and_equipment
APH,NTCT,2022-06-03,0.588,2.758,0.197,15.221,4.485,3.913,0.0,0.607,-0.062,-0.012,-0.003,-0.089,-0.042,-0.005,-0.03,-0.003,0.032,0.013,0.034,2.025,0.049,1.726,0.104,0.555,2017-06-19,technology_hardware_and_equipment
APH,RDWR,2022-06-03,0.725,-2.611,0.287,10.167,4.485,3.913,0.118,-0.463,0.001,-0.031,-0.069,-0.0,-0.019,0.007,0.012,-0.038,-0.023,0.068,-0.028,-3.234,-0.061,-3.955,-0.085,-4.472,2017-06-19,technology_hardware_and_equipment
ARW,RDWR,2022-06-03,0.725,-2.74,0.152,13.012,4.485,3.913,0.235,-0.487,-0.027,-0.021,-0.008,-0.006,0.019,-0.008,-0.033,0.063,-0.004,-0.029,-0.025,-3.192,-0.009,-2.899,-0.008,-2.893,2017-06-19,technology_hardware_and_equipment
AVID,NTCT,2022-06-03,0.667,2.664,0.244,22.689,4.485,3.913,0.389,0.248,-0.02,-0.02,0.012,-0.022,-0.002,0.005,-0.004,-0.028,0.0,0.018,0.065,1.394,0.01,2.475,0.097,0.76,2017-06-19,technology_hardware_and_equipment
AVT,NATI,2022-06-03,1.0,-2.987,0.349,26.856,4.485,3.913,0.946,-0.518,0.054,0.097,0.024,0.044,-0.027,0.085,0.027,-0.039,0.036,0.033,-0.038,-3.68,0.085,-1.423,0.099,-1.17,2017-06-19,technology_hardware_and_equipment
BMI,CGNX,2022-06-03,0.608,-2.823,0.692,10.92,4.485,3.913,0.368,-0.725,0.037,-0.01,-0.084,-0.026,-0.048,0.016,0.064,-0.029,0.024,0.077,-0.039,-3.431,-0.105,-4.448,-0.145,-5.072,2017-06-19,technology_hardware_and_equipment
