ticker,subindustry,market_cap
JSPR,pharmaceuticals_biotechnology_and_life_sciences,105.3
JUGG,diversified_financials,337.1
JUPW,consumer_staples,24.5
JVA,consumer_staples,18.5
JWEL,retailing,49.7
JYNT,health_care_equipment_and_services,496.9
JZXN,retailing,27.2
KAII,diversified_financials,286.7
KAIR,diversified_financials,339.8
KARO,software_and_services,1069.4
KAVL,retailing,45.5
KBNT,media_and_entertainment,17.2
KERN,software_and_services,30.1
KIII,diversified_financials,358.2
KINS,insurance,50.4
KOPN,semiconductors_and_semiconductor_equipment,158.7
KOSS,consumer_durables_and_apparel,68.8
KPRX,pharmaceuticals_biotechnology_and_life_sciences,7.37
KRBP,pharmaceuticals_biotechnology_and_life_sciences,11.6
KRMD,health_care_equipment_and_services,134.0
KRNL,diversified_financials,374.1
KSPN,software_and_services,17.6
KTRA,pharmaceuticals_biotechnology_and_life_sciences,19.0
KTTA,pharmaceuticals_biotechnology_and_life_sciences,28.3
KXIN,retailing,149.2
KZIA,pharmaceuticals_biotechnology_and_life_sciences,105.0
LAAA,diversified_financials,70.3
LAZY,retailing,268.0
LCAA,diversified_financials,351.7
LCAP,diversified_financials,186.4
LCFY,media_and_entertainment,33.9
LCNB,banks,195.9
LDHA,diversified_financials,281.8
LE,retailing,566.9
LEDS,semiconductors_and_semiconductor_equipment,14.4
LEGA,diversified_financials,423.1
LEXX,pharmaceuticals_biotechnology_and_life_sciences,24.2
LFVN,consumer_staples,59.8
LGAC,diversified_financials,705.8
LGHL,diversified_financials,56.5
LGMK,software_and_services,18.9
LGVN,pharmaceuticals_biotechnology_and_life_sciences,212.9
LIDR,technology_hardware_and_equipment,780.1
LIFE,pharmaceuticals_biotechnology_and_life_sciences,125.9
LIND,consumer_services,801.3
LINK,technology_hardware_and_equipment,66.7
LIQT,capital_goods,42.3
LITM,metals_and_mining,106.9
LIVE,consumer_durables_and_apparel,60.1
LIXT,pharmaceuticals_biotechnology_and_life_sciences,22.3
LJPC,pharmaceuticals_biotechnology_and_life_sciences,109.6
LKCO,media_and_entertainment,200.3
LLL,consumer_durables_and_apparel,11.7
LMB,capital_goods,68.3
LMFA,diversified_financials,32.7
LMPX,retailing,47.6
LMST,banks,158.6
LNSR,health_care_equipment_and_services,84.6
LOAN,diversified_financials,68.3
LOV,media_and_entertainment,60.5
LPCN,pharmaceuticals_biotechnology_and_life_sciences,92.0
LPTH,technology_hardware_and_equipment,48.4
LQDA,pharmaceuticals_biotechnology_and_life_sciences,342.7
