ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
NUV,UTF,2022-04-13,0.765,3.248,3.204,-9.209,4.76,0.37962943,2.6280017,0.023,2.658,0.013,2.92,0.039,2.267,2017-04-28,diversified_financials
NUV,VWOB,2022-04-13,0.98,-2.62,4.216,33.37,4.76,0.0004203686,-0.36080447,-0.014,-3.367,-0.034,-4.505,-0.061,-5.973,2017-04-28,diversified_financials
NVG,PFF,2022-04-13,1.0,2.843,1.793,8.365,4.76,0.21033093,0.06629417,0.02,1.274,0.026,0.809,0.031,0.444,2017-04-28,diversified_financials
NVG,TSLX,2022-04-13,0.569,4.85,2.207,-16.912,4.76,0.08146477,0.49719483,0.022,4.26,0.045,3.653,0.082,2.665,2017-04-28,diversified_financials
NVG,UTF,2022-04-13,0.922,5.6,2.144,-9.85,4.76,0.36434698,3.9789116,0.035,4.309,0.025,4.673,0.056,3.518,2017-04-28,diversified_financials
NVG,VOYA,2022-04-13,0.824,3.632,4.862,-17.706,4.76,0.06763383,1.2274176,0.02,3.096,0.021,3.082,0.069,1.794,2017-04-28,diversified_financials
NZF,RNP,2022-04-13,0.902,4.916,2.703,-17.83,4.76,0.011590284,1.9664592,0.011,4.445,0.031,3.63,0.044,3.1,2017-04-28,diversified_financials
NZF,TSLX,2022-04-13,0.569,4.857,2.408,-18.182,4.76,0.06920039,2.4609277,0.002,4.793,0.028,4.056,0.068,2.881,2017-04-28,diversified_financials
NZF,UTF,2022-04-13,0.941,5.58,2.322,-10.85,4.76,0.45403656,4.255038,0.017,4.902,0.011,5.155,0.045,3.781,2017-04-28,diversified_financials
NZF,VONV,2022-04-13,0.529,4.957,6.406,-34.375,4.76,0.0053650886,4.4841356,-0.001,4.997,0.014,4.447,0.045,3.345,2017-04-28,diversified_financials
NZF,VOYA,2022-04-13,0.882,3.801,5.442,-22.525,4.76,0.1403778,0.95302427,0.002,3.741,0.005,3.642,0.057,2.083,2017-04-28,diversified_financials
OCSL,PFF,2022-04-13,0.529,-3.101,1.656,27.361,4.76,0.05380365,-0.9098823,-0.028,-4.032,-0.032,-4.195,-0.017,-3.66,2017-04-28,diversified_financials
OCSL,TY,2022-04-13,0.686,-2.637,3.022,12.127,4.76,0.12849264,-1.6630639,-0.017,-3.225,-0.025,-3.48,-0.027,-3.576,2017-04-28,diversified_financials
OMF,STEW,2022-04-13,0.882,2.711,0.128,6.666,4.76,0.17864689,1.3653377,0.05,1.168,0.065,0.726,0.071,0.542,2017-04-28,diversified_financials
OMF,TSLX,2022-04-13,0.549,2.954,0.256,7.832,4.76,0.6367883,1.2112918,0.038,1.842,0.059,1.226,0.081,0.574,2017-04-28,diversified_financials
OMF,VONV,2022-04-13,0.941,2.739,0.672,35.14,4.76,0.4429575,0.89761454,0.029,1.545,0.036,1.264,0.045,0.865,2017-04-28,diversified_financials
ONEQ,SII,2022-04-13,0.549,3.082,0.691,0.963,4.76,0.5209838,1.8763437,0.136,0.546,0.11,1.035,0.14,0.474,2017-04-28,diversified_financials
